id,event_type,event_cause,latitude,longitude,requires_road_closure,priority,corridor,zone,duration_minutes,hour,day_of_week,is_weekend,police_station
FKID000034,unplanned,congestion,13.044697,77.5828546,False,High,ORR North 2,,71.5,5.0,1.0,0,Kodigehalli
FKID000035,unplanned,pot_holes,12.9666885,77.6616396,False,Low,,,1440.0,8.0,1.0,0,Jeevanbheemanagar
FKID000036,unplanned,vehicle_breakdown,12.9789228,77.5644032,False,High,Magadi Road,,40.7,20.0,3.0,0,Magadi Road
FKID000037,unplanned,accident,12.8636494,77.6725849,False,Low,Non-corridor,,40.0,3.0,1.0,0,Electronic City
FKID000038,unplanned,vehicle_breakdown,12.9219483,77.6002467,False,High,Bannerghata Road,,40.7,15.0,1.0,0,Mico Layout
FKID000039,unplanned,pot_holes,12.9666597,77.661556,False,Low,,,1440.0,8.0,1.0,0,Jeevanbheemanagar
FKID000040,planned,construction,12.946469,77.6986754,False,High,ORR East 1,,1440.0,11.0,1.0,0,HAL Old Airport
FKID000041,unplanned,others,12.9936273,77.5844677,True,High,Bellary Road 1,,106.4,20.0,3.0,0,High ground
FKID000042,unplanned,vehicle_breakdown,12.9465079,77.6986339,False,High,ORR East 1,,40.7,20.0,1.0,0,HAL Old Airport
FKID000043,unplanned,vehicle_breakdown,13.0467058,77.5036495,False,Low,Non-corridor,,40.7,18.0,3.0,0,Chikkabanavara
FKID000044,unplanned,vehicle_breakdown,13.0166142,77.5054464,False,Low,Non-corridor,West Zone 1,40.7,6.0,3.0,0,Peenya
FKID000045,planned,construction,13.0085677,77.6131497,True,Low,Non-corridor,,1440.0,21.0,1.0,0,K.G. Halli
FKID000046,unplanned,vehicle_breakdown,13.0309717,77.5364661,False,High,Tumkur Road,,40.7,19.0,1.0,0,Yeshwanthpura
FKID000047,unplanned,others,13.0262806,77.5442344,False,High,Tumkur Road,,133.5,20.0,3.0,0,Yeshwanthpura
FKID000048,unplanned,tree_fall,12.9938639,77.5844374,False,High,Bellary Road 1,,1440.0,20.0,3.0,0,High ground
FKID000049,unplanned,vehicle_breakdown,12.9188682,77.6687736,False,High,ORR East 1,,55.5,21.0,1.0,0,Bellandur
FKID000050,unplanned,congestion,12.9546127,77.6423399,False,High,IRR(Thanisandra road),,71.5,20.0,1.0,0,Jeevanbheemanagar
FKID000051,unplanned,vehicle_breakdown,12.936133,77.5187044,False,High,Mysore Road,,40.7,21.0,1.0,0,Byatarayanapura
FKID000052,planned,construction,12.9694079,77.7006346,False,High,ORR East 2,,1440.0,20.0,1.0,0,HAL Old Airport
FKID000053,unplanned,vehicle_breakdown,12.9849833,77.5883633,False,High,Bellary Road 1,,69.3,21.0,1.0,0,High ground
FKID000054,unplanned,vehicle_breakdown,13.0127301,77.5545135,False,High,West of Chord Road,,40.7,20.0,3.0,0,Malleshwaram
FKID000055,unplanned,road_conditions,12.9842019,77.7336286,False,Low,Non-corridor,,61.3,21.0,1.0,0,Whitefield
FKID000056,unplanned,vehicle_breakdown,13.2644465,77.7187627,True,Low,Non-corridor,,40.7,19.0,1.0,0,Devanahalli Airport
FKID000057,unplanned,vehicle_breakdown,12.9848257,77.7527586,False,Low,Non-corridor,,36.4,22.0,1.0,0,Mahadevapura
FKID000058,unplanned,tree_fall,12.9932986,77.5837571,False,High,Bellary Road 1,,1440.0,20.0,3.0,0,High ground
FKID000059,unplanned,tree_fall,12.9937523,77.5842482,False,High,Bellary Road 1,,1440.0,20.0,3.0,0,High ground
FKID000060,unplanned,tree_fall,12.9938868,77.5841876,False,High,Bellary Road 1,,1440.0,20.0,3.0,0,High ground
FKID000061,unplanned,vehicle_breakdown,12.9368467,77.6928653,False,High,ORR East 1,,40.7,23.0,1.0,0,HAL Old Airport
FKID000062,unplanned,tree_fall,13.0126766,77.5581246,True,Low,Non-corridor,,1440.0,20.0,3.0,0,Malleshwaram
FKID000063,unplanned,vehicle_breakdown,12.9513113,77.4994888,False,Low,Non-corridor,,83.2,23.0,1.0,0,Jnanabharathi
FKID000064,unplanned,vehicle_breakdown,13.0160964,77.5068555,False,Low,Non-corridor,,40.7,21.0,1.0,0,Peenya
FKID000065,unplanned,pot_holes,12.9807501,77.6028238,False,High,CBD 1,,1440.0,21.0,3.0,0,Shivajinagar
FKID000066,unplanned,tree_fall,12.9165983,77.583705,False,Low,Non-corridor,,321.2,20.0,3.0,0,J.P. Nagar
FKID000067,unplanned,pot_holes,13.0198619,77.6562235,False,High,,,1440.0,1.0,2.0,0,Hennuru
FKID000068,unplanned,pot_holes,13.0191848,77.6555127,False,High,ORR North 1,,1440.0,1.0,2.0,0,Hennuru
FKID000069,unplanned,vehicle_breakdown,12.9740913,77.5452252,False,High,West of Chord Road,,44.2,0.0,2.0,0,Vijayanagara
FKID000070,unplanned,vehicle_breakdown,12.9740971,77.5449011,False,High,West of Chord Road,,41.8,0.0,2.0,0,Vijayanagara
FKID000071,unplanned,vehicle_breakdown,12.9688926,77.569795,False,Low,Non-corridor,,26.2,1.0,2.0,0,Chamarajpet
FKID000072,unplanned,pot_holes,12.9838737,77.5286068,False,High,Magadi Road,,1440.0,23.0,1.0,0,Kamakshipalya
FKID000073,unplanned,others,12.9595586,77.5162093,False,Low,Non-corridor,,1440.0,23.0,1.0,0,Byatarayanapura
FKID000074,unplanned,vehicle_breakdown,12.9511354,77.5739687,False,Low,Non-corridor,,40.7,22.0,1.0,0,V.V.Puram (C.Pet)
FKID000075,unplanned,vehicle_breakdown,13.0192138,77.5395595,False,Low,Non-corridor,,40.7,23.0,1.0,0,Rajajinagar
FKID000076,unplanned,pot_holes,12.9161187,77.5856548,False,Low,Non-corridor,,1440.0,21.0,3.0,0,J.P. Nagar
FKID000077,unplanned,vehicle_breakdown,12.9284355,77.6811918,True,High,ORR East 1,,40.7,23.0,1.0,0,Bellandur
FKID000078,unplanned,vehicle_breakdown,13.0753282,77.4370383,False,Low,Non-corridor,,40.7,19.0,3.0,0,No Police Station
FKID000079,unplanned,vehicle_breakdown,13.2673624,77.7195893,False,Low,Non-corridor,,40.7,19.0,3.0,0,Devanahalli Airport
FKID000080,unplanned,others,12.9449039,77.4949618,False,Low,Non-corridor,,15.9,21.0,3.0,0,Jnanabharathi
FKID000081,unplanned,tree_fall,12.9873133,77.6163481,False,Low,Non-corridor,,116.8,21.0,3.0,0,Pulikeshinagar(F.Town)
FKID000082,planned,construction,12.969418,77.7006526,False,High,ORR East 2,,1440.0,21.0,3.0,0,HAL Old Airport
FKID000083,unplanned,others,12.9613232,77.5644194,True,High,Mysore Road,,1440.0,21.0,3.0,0,Chamarajpet
FKID000084,unplanned,others,12.959419,77.5165897,False,Low,Non-corridor,,1440.0,21.0,3.0,0,Byatarayanapura
FKID000085,unplanned,pot_holes,12.9431035,77.6220445,False,Low,Non-corridor,,1440.0,21.0,3.0,0,Adugodi
FKID000086,unplanned,vehicle_breakdown,12.8482637,77.6713737,False,Low,Non-corridor,,83.5,2.0,2.0,0,Electronic City
FKID000087,unplanned,vehicle_breakdown,12.96672,77.6093294,False,High,Mysore Road,,52.8,5.0,2.0,0,Ashok Nagar
FKID000088,unplanned,vehicle_breakdown,13.0253205,77.6400845,False,High,ORR North 1,,74.8,21.0,3.0,0,Banaswadi
FKID000089,unplanned,vehicle_breakdown,12.8561783,77.6645205,False,Low,Non-corridor,,40.7,2.0,2.0,0,Electronic City
FKID000090,unplanned,water_logging,12.9641056,77.5825203,False,High,Mysore Road,,1440.0,3.0,2.0,0,Halasuru Gate
FKID000091,unplanned,vehicle_breakdown,12.974757,77.5657216,False,High,Magadi Road,,40.7,1.0,2.0,0,Magadi Road
FKID000092,unplanned,vehicle_breakdown,12.9640011,77.5836093,False,High,Mysore Road,,40.7,1.0,2.0,0,Halasuru Gate
FKID000093,unplanned,vehicle_breakdown,12.9480512,77.5343585,False,High,Mysore Road,,47.7,4.0,2.0,0,Byatarayanapura
FKID000094,unplanned,vehicle_breakdown,12.9245654,77.6739287,False,High,ORR East 1,,40.7,3.0,2.0,0,Bellandur
FKID000095,unplanned,tree_fall,13.0078566,77.5920655,False,Low,Non-corridor,,8.6,21.0,3.0,0,R.T. Nagar
FKID000096,unplanned,tree_fall,13.0035862,77.5721203,True,Low,Non-corridor,,732.1,21.0,3.0,0,Malleshwaram
FKID000097,unplanned,others,12.9854129,77.5941024,False,High,CBD 2,,452.1,21.0,3.0,0,Cubbon Park
FKID000098,unplanned,tree_fall,12.9272622,77.5806774,True,Low,Non-corridor,,732.1,21.0,3.0,0,Jayanagara
FKID000099,unplanned,tree_fall,13.0022504,77.5722138,True,Low,Non-corridor,,1440.0,21.0,3.0,0,Sadashivanagar
FKID000100,unplanned,tree_fall,12.9586724,77.5629452,True,High,Mysore Road,,1440.0,21.0,3.0,0,Chamarajpet
FKID000101,unplanned,vehicle_breakdown,13.0369808,77.5895122,False,High,Bellary Road 1,,40.7,3.0,2.0,0,Hebbala
FKID000102,unplanned,vehicle_breakdown,12.9169077,77.5737827,False,Low,Non-corridor,,40.7,3.0,2.0,0,Jayanagara
FKID000103,unplanned,pot_holes,12.9047066,77.6016042,False,High,Bannerghata Road,,1440.0,22.0,3.0,0,J.P. Nagar
FKID000104,unplanned,pot_holes,12.9047995,77.6017019,False,High,Bannerghata Road,,1440.0,22.0,3.0,0,J.P. Nagar
FKID000105,unplanned,water_logging,12.9774707,77.5457303,False,High,West of Chord Road,,1440.0,22.0,3.0,0,Vijayanagara
FKID000106,unplanned,pot_holes,12.904781,77.6015741,False,High,Bannerghata Road,,1440.0,22.0,3.0,0,J.P. Nagar
FKID000107,unplanned,vehicle_breakdown,12.9238693,77.5536044,False,High,ORR West 1,,141.0,5.0,2.0,0,Banashankari
FKID000108,unplanned,others,12.9585656,77.5932824,False,Low,Non-corridor,,452.1,7.0,2.0,0,Ashok Nagar
FKID000109,unplanned,tree_fall,12.9601533,77.5633429,False,High,Mysore Road,,1440.0,22.0,3.0,0,Chamarajpet
FKID000110,unplanned,tree_fall,12.9578001,77.5631189,False,Low,Non-corridor,,1440.0,22.0,3.0,0,Chamarajpet
FKID000111,unplanned,vehicle_breakdown,12.95836,77.5776317,False,Low,Non-corridor,,40.7,22.0,3.0,0,City Market
FKID000112,unplanned,pot_holes,12.9187567,77.621505,False,High,ORR East 1,South Zone 2,1440.0,2.0,5.0,1,Madiwala
FKID000113,unplanned,construction,13.0331905,77.5901915,False,High,Bellary Road 1,,545.4,22.0,3.0,0,Hebbala
FKID000114,unplanned,vehicle_breakdown,12.9360494,77.6154975,True,Low,Non-corridor,,40.7,20.0,3.0,0,Adugodi
FKID000115,unplanned,water_logging,12.9784088,77.6285392,False,High,Old Madras Road,,1440.0,22.0,3.0,0,Halasur
FKID000116,unplanned,pot_holes,12.9873237,77.6037885,False,Low,Non-corridor,,1440.0,22.0,3.0,0,Shivajinagar
FKID000117,unplanned,vehicle_breakdown,13.0190323,77.654465,False,High,ORR North 1,,40.7,22.0,3.0,0,Banaswadi
FKID000118,unplanned,congestion,13.0446713,77.5828869,False,High,ORR North 2,,71.5,5.0,2.0,0,Kodigehalli
FKID000119,unplanned,vehicle_breakdown,12.9119892,77.6254956,False,High,Hosur Road,,40.7,6.0,2.0,0,Madiwala
FKID000120,unplanned,vehicle_breakdown,12.9893579,77.5064443,False,High,Magadi Road,,40.7,5.0,2.0,0,Kamakshipalya
FKID000121,unplanned,vehicle_breakdown,13.0152581,77.5639687,False,High,Tumkur Road,,40.7,19.0,3.0,0,Sadashivanagar
FKID000122,unplanned,tree_fall,12.9392829,77.5596125,True,Low,Non-corridor,,61.8,23.0,3.0,0,Basavanagudi
FKID000123,unplanned,vehicle_breakdown,12.9614398,77.5600867,False,High,Mysore Road,,102.4,8.0,2.0,0,Chamarajpet
FKID000124,unplanned,vehicle_breakdown,12.9194445,77.6215536,False,High,Hosur Road,,40.7,8.0,2.0,0,Madiwala
FKID000125,unplanned,construction,13.0501731,77.4947759,False,Low,Non-corridor,,1440.0,11.0,2.0,0,Chikkabanavara
FKID000126,unplanned,accident,12.8400906,77.6764868,False,Low,Non-corridor,,40.0,16.0,2.0,0,Electronic City
FKID000127,unplanned,accident,13.042636,77.5147881,False,High,Tumkur Road,,40.0,19.0,2.0,0,Chikkabanavara
FKID000128,unplanned,vehicle_breakdown,12.9110914,77.6001308,False,High,Bannerghata Road,,40.7,19.0,2.0,0,Mico Layout
FKID000129,unplanned,others,12.9516567,77.500185,False,Low,Non-corridor,West Zone 1,1440.0,9.0,5.0,1,Jnanabharathi
FKID000130,unplanned,pot_holes,12.9698017,77.7319617,False,Low,,,1440.0,20.0,2.0,0,Whitefield
FKID000131,unplanned,vehicle_breakdown,13.114305,77.60655,False,High,Bellary Road 2,,102.5,20.0,2.0,0,Yelahanka
FKID000132,unplanned,vehicle_breakdown,12.9900159,77.5025425,False,High,Magadi Road,,106.5,20.0,2.0,0,Kamakshipalya
FKID000133,unplanned,accident,13.0424443,77.5147257,False,High,Tumkur Road,,40.0,19.0,2.0,0,Chikkabanavara
FKID000134,unplanned,vehicle_breakdown,12.9216832,77.6199372,True,High,Hosur Road,,75.4,19.0,2.0,0,Madiwala
FKID000135,unplanned,others,13.0467369,77.575502,False,High,ORR North 2,North Zone 2,1440.0,7.0,3.0,0,Kodigehalli
FKID000136,unplanned,vehicle_breakdown,13.0427379,77.5892891,False,High,Bellary Road 1,,40.7,20.0,2.0,0,Kodigehalli
FKID000137,unplanned,vehicle_breakdown,13.0308555,77.5359082,False,High,Tumkur Road,,40.7,20.0,2.0,0,Yeshwanthpura
FKID000138,unplanned,pot_holes,13.0161873,77.7093516,True,Low,Non-corridor,,365.2,0.0,6.0,1,K.R. Pura
FKID000139,planned,construction,12.9693576,77.7006406,False,High,ORR East 2,,1440.0,21.0,2.0,0,HAL Old Airport
FKID000140,unplanned,vehicle_breakdown,12.9625526,77.5916298,False,Low,Non-corridor,,40.7,21.0,3.0,0,Halasuru Gate
FKID000141,unplanned,others,12.9893817,77.5927844,False,Low,Non-corridor,,452.1,23.0,3.0,0,Cubbon Park
FKID000142,unplanned,water_logging,12.938565,77.6979933,False,High,ORR East 1,,50.0,23.0,3.0,0,HAL Old Airport
FKID000143,unplanned,vehicle_breakdown,12.9690624,77.5872736,True,High,Mysore Road,,111.6,23.0,3.0,0,Halasuru Gate
FKID000144,unplanned,tree_fall,12.961311,77.55932,True,High,Mysore Road,,1440.0,23.0,3.0,0,Chamarajpet
FKID000145,unplanned,road_conditions,12.9146696,77.5640607,False,High,ORR West 1,,1440.0,21.0,2.0,0,K.S. Layout
FKID000146,unplanned,vehicle_breakdown,12.9173038,77.5882958,False,Low,Non-corridor,,40.7,21.0,2.0,0,Jayanagara
FKID000147,unplanned,road_conditions,12.9144686,77.5650362,False,High,ORR West 1,,1440.0,21.0,2.0,0,Banashankari
FKID000148,unplanned,road_conditions,12.9144815,77.5650493,False,High,ORR West 1,,1440.0,21.0,2.0,0,Banashankari
FKID000149,unplanned,vehicle_breakdown,12.9113626,77.5999548,False,High,Bannerghata Road,,40.7,19.0,2.0,0,Mico Layout
FKID000150,unplanned,vehicle_breakdown,12.9353705,77.5182037,False,High,Mysore Road,,40.7,21.0,2.0,0,Byatarayanapura
FKID000151,unplanned,tree_fall,12.9216444,77.5940415,True,Low,Non-corridor,,732.1,23.0,3.0,0,Jayanagara
FKID000152,unplanned,vehicle_breakdown,12.9246541,77.6497438,False,High,ORR East 1,,40.7,22.0,2.0,0,HAL Old Airport
FKID000153,unplanned,road_conditions,12.9145147,77.5649877,False,High,ORR West 1,,1440.0,22.0,2.0,0,Banashankari
FKID000154,unplanned,road_conditions,12.9145447,77.5650079,False,High,ORR West 1,,1440.0,22.0,2.0,0,Banashankari
FKID000155,unplanned,vehicle_breakdown,12.9635928,77.6263774,False,Low,Non-corridor,,40.7,20.0,2.0,0,Halasur
FKID000156,unplanned,vehicle_breakdown,13.0310785,77.5357035,False,High,Tumkur Road,,40.7,20.0,2.0,0,Yeshwanthpura
FKID000157,unplanned,vehicle_breakdown,12.8700974,77.6533824,False,High,Hosur Road,,52.8,0.0,4.0,0,Electronic City
FKID000158,planned,construction,12.9762232,77.6016656,False,High,Old Madras Road,,1440.0,22.0,2.0,0,Cubbon Park
FKID000159,unplanned,water_logging,12.9211317,77.6627683,False,High,ORR East 1,,1440.0,6.0,3.0,0,Bellandur
FKID000160,unplanned,vehicle_breakdown,12.9832059,77.5766759,False,Low,Non-corridor,,40.7,22.0,3.0,0,High ground
FKID000161,unplanned,others,12.9793286,77.5105419,False,Low,Non-corridor,,81.5,0.0,4.0,0,Jnanabharathi
FKID000162,unplanned,others,12.94819783,77.53467664,False,High,Mysore Road,,15.3,23.0,2.0,0,Byatarayanapura
FKID000163,unplanned,tree_fall,13.022765,77.6014354,True,Low,Non-corridor,,178.2,0.0,4.0,0,R.T. Nagar
FKID000164,unplanned,pot_holes,12.9943131,77.617972,False,Low,,,1440.0,23.0,2.0,0,Pulikeshinagar(F.Town)
FKID000165,unplanned,vehicle_breakdown,13.0071299,77.5267687,False,Low,Non-corridor,,40.7,21.0,3.0,0,Rajajinagar
FKID000166,planned,construction,13.1511992,77.620242,False,High,Bellary Road 2,,31.9,0.0,3.0,0,Chikkajala
FKID000167,unplanned,vehicle_breakdown,13.0264,77.544019,False,High,Tumkur Road,,40.7,22.0,3.0,0,Yeshwanthpura
FKID000168,unplanned,pot_holes,13.1212507,77.6179465,False,Low,Non-corridor,North Zone 2,1440.0,21.0,0.0,0,Yelahanka
FKID000169,unplanned,pot_holes,12.9895389,77.5057545,False,High,Magadi Road,,1440.0,0.0,4.0,0,Kamakshipalya
FKID000170,unplanned,vehicle_breakdown,12.9245044,77.6502426,False,High,ORR East 1,,40.7,22.0,2.0,0,HAL Old Airport
FKID000171,unplanned,vehicle_breakdown,12.9664142,77.5125512,False,Low,Non-corridor,,11.8,0.0,3.0,0,Jnanabharathi
FKID000172,unplanned,vehicle_breakdown,12.9758786,77.5643384,False,High,Magadi Road,,24.5,1.0,4.0,0,Magadi Road
FKID000173,unplanned,vehicle_breakdown,12.9641027,77.5700324,False,High,Mysore Road,,40.7,1.0,3.0,0,Chamarajpet
FKID000174,unplanned,tree_fall,12.9124656,77.5805324,False,Low,Non-corridor,,1228.1,5.0,3.0,0,J.P. Nagar
FKID000175,unplanned,vehicle_breakdown,12.9228317,77.6575101,False,High,ORR East 1,,40.7,23.0,2.0,0,Bellandur
FKID000176,unplanned,vehicle_breakdown,13.0378641,77.5222897,False,High,Tumkur Road,,86.3,1.0,3.0,0,Peenya
FKID000177,unplanned,vehicle_breakdown,12.9583476,77.5547336,False,High,Mysore Road,,40.7,2.0,4.0,0,Chamarajpet
FKID000178,unplanned,vehicle_breakdown,12.8895087,77.6408236,False,High,Hosur Road,,40.7,0.0,3.0,0,HSR Layout
FKID000179,unplanned,vehicle_breakdown,12.8895337,77.640687,False,High,Hosur Road,,40.7,0.0,3.0,0,HSR Layout
FKID000180,unplanned,vehicle_breakdown,12.9847423,77.574706,False,Low,Non-corridor,,40.7,0.0,4.0,0,Sheshadripuram
FKID000181,unplanned,vehicle_breakdown,13.0229252,77.5099725,False,Low,Non-corridor,,40.7,1.0,4.0,0,Peenya
FKID000182,unplanned,vehicle_breakdown,12.8894616,77.6407007,False,High,Hosur Road,,40.7,0.0,3.0,0,HSR Layout
FKID000183,unplanned,vehicle_breakdown,13.0436683,77.6067467,False,High,ORR North 1,,18.8,2.0,3.0,0,Hebbala
FKID000184,unplanned,vehicle_breakdown,13.0145688,77.5835164,False,High,Bellary Road 1,,23.6,3.0,3.0,0,Sadashivanagar
FKID000185,unplanned,vehicle_breakdown,13.0186759,77.5588615,False,High,Tumkur Road,,36.5,4.0,4.0,0,Yeshwanthpura
FKID000186,unplanned,vehicle_breakdown,12.9494883,77.5368741,True,High,Mysore Road,,23.4,4.0,4.0,0,Byatarayanapura
FKID000187,unplanned,vehicle_breakdown,13.0229482,77.601028,False,Low,Non-corridor,,104.2,4.0,4.0,0,R.T. Nagar
FKID000188,unplanned,vehicle_breakdown,12.9928917,77.5854867,False,High,Bellary Road 1,,86.3,2.0,3.0,0,High ground
FKID000189,unplanned,vehicle_breakdown,12.9625233,77.6415686,False,High,Old Airport Road,,70.9,4.0,4.0,0,Jeevanbheemanagar
FKID000190,unplanned,vehicle_breakdown,13.0976738,77.5990251,False,High,Bellary Road 2,,40.7,3.0,3.0,0,Yelahanka
FKID000191,unplanned,vehicle_breakdown,13.1151883,77.6067482,False,High,Bellary Road 2,,40.7,4.0,3.0,0,Yelahanka
FKID000192,planned,construction,13.07835,77.502205,False,Low,Non-corridor,,1440.0,4.0,4.0,0,Chikkabanavara
FKID000193,unplanned,road_conditions,12.984191,77.5972223,False,High,CBD 2,,1440.0,4.0,4.0,0,Shivajinagar
FKID000194,unplanned,vehicle_breakdown,12.97447,77.5492,False,High,West of Chord Road,,40.7,1.0,4.0,0,Magadi Road
FKID000195,unplanned,road_conditions,12.9842204,77.597142,False,High,CBD 2,,1440.0,4.0,4.0,0,Shivajinagar
FKID000196,unplanned,vehicle_breakdown,13.0488954,77.4970171,False,Low,Non-corridor,,40.7,5.0,4.0,0,Chikkabanavara
FKID000197,unplanned,vehicle_breakdown,12.9891874,77.5070709,False,High,Magadi Road,,73.0,4.0,4.0,0,Kamakshipalya
FKID000198,unplanned,vehicle_breakdown,12.9160564,77.6160829,False,Low,Non-corridor,,40.7,2.0,3.0,0,Mico Layout
FKID000199,unplanned,construction,13.16120295,77.62691818,False,High,Bellary Road 2,,60.8,4.0,3.0,0,Chikkajala
FKID000200,unplanned,vehicle_breakdown,12.9532283,77.538385,False,High,West of Chord Road,,40.7,1.0,3.0,0,Byatarayanapura
FKID000201,unplanned,road_conditions,12.9844178,77.5970285,False,High,CBD 2,,1440.0,5.0,4.0,0,Cubbon Park
FKID000202,unplanned,others,12.8569988,77.5889807,False,High,Bannerghata Road,,119.6,5.0,3.0,0,Hulimavu
FKID000203,unplanned,vehicle_breakdown,12.9446407,77.5969852,False,Low,Non-corridor,,79.0,3.0,3.0,0,Wilson Garden
FKID000204,unplanned,vehicle_breakdown,13.0407502,77.5174141,False,High,Tumkur Road,,40.7,2.0,3.0,0,Peenya
FKID000205,unplanned,vehicle_breakdown,13.0414238,77.545608,False,High,ORR North 2,,138.0,5.0,4.0,0,Jalahalli
FKID000206,unplanned,vehicle_breakdown,12.95983785,77.64811735,False,High,Old Airport Road,,28.4,5.0,3.0,0,Jeevanbheemanagar
FKID000207,unplanned,congestion,13.0446065,77.5828293,False,High,ORR North 2,,71.5,6.0,3.0,0,Kodigehalli
FKID000208,unplanned,vehicle_breakdown,12.9197329,77.5835635,False,Low,Non-corridor,,93.1,5.0,4.0,0,Jayanagara
FKID000209,unplanned,others,12.9875849,77.5182251,False,High,Magadi Road,,1440.0,21.0,5.0,1,Kamakshipalya
FKID000210,unplanned,vehicle_breakdown,12.9886918,77.519831,False,High,Magadi Road,,40.7,6.0,3.0,0,Kamakshipalya
FKID000211,unplanned,vehicle_breakdown,12.9595376,77.5557817,False,High,Mysore Road,,40.7,3.0,3.0,0,Chamarajpet
FKID000212,unplanned,vehicle_breakdown,12.993901,77.6190564,False,Low,Non-corridor,,40.7,5.0,4.0,0,Pulikeshinagar(F.Town)
